satellite_id,timestamp,orbit_error_m,clock_error_ns,radial_error_m,ephemeris_age_hours
G13,2025-07-06 02:00:00,52321127.39469158,-163177.74243270117,-51546922.83572666,0.0
G14,2025-07-06 02:00:00,44490199.968983255,6852822.567652966,-37473525.76772729,0.0
G15,2025-07-06 02:00:00,9509189.147383366,5710667.004240743,-1709697.495943891,0.0
G16,2025-07-06 02:00:00,50754362.09916586,11910875.49392667,-48546737.21498847,0.0
G17,2025-07-06 02:00:00,46850299.33004905,-23821698.77198845,-40920565.34594001,0.0
G18,2025-07-06 02:00:00,35489390.39670405,9300260.515476482,-23636191.527998224,0.0
G19,2025-07-06 02:00:00,41124065.82020752,4568530.551668555,-32113279.626965716,0.0
G20,2025-07-06 02:00:00,31058242.042863004,-163158.785391539,-18094985.53008754,0.0
G21,2025-07-06 02:00:00,28585289.932996556,45522271.741591685,-15379912.367369251,0.0
G22,2025-07-06 02:00:00,35531410.963754386,1305327.976592662,-23855370.407227285,0.0
G23,2025-07-06 02:00:00,51148480.54569985,8973924.121045252,-49392848.32889721,0.0
G24,2025-07-06 02:00:00,46053356.69959611,13216115.732526077,-39492632.97947524,0.0
G25,2025-07-06 02:00:00,43139786.43990976,-2121102.752519227,-35408790.44432646,0.0044444444444444444
G26,2025-07-06 02:00:00,14748816.636418259,4894861.6451707855,-3858894.993828071,0.0
G27,2025-07-06 02:00:00,25550760.28291659,489517.63518607523,-12452385.84631397,0.0
G28,2025-07-06 02:00:00,45202596.41261527,-4242218.4656156255,-38470400.107966825,0.0
G29,2025-07-06 02:00:00,30976419.685842138,6852810.892410902,-18139585.145165116,0.0
G30,2025-07-06 02:00:00,38822079.613643736,14684585.374024702,-28173749.634964686,0.0
G31,2025-07-06 02:00:00,45883633.8190137,1957955.4605963912,-39697749.11866695,0.0
G32,2025-07-06 02:00:00,35558440.09183856,16805695.819250282,-23620418.221075412,0.0
G01,2025-07-06 02:15:00,48861268.148980305,12563491.934895601,-44930027.20202811,0.25
G02,2025-07-06 02:15:00,9781805.835035376,12889794.844699027,-2099011.428221683,0.25
G03,2025-07-06 02:15:00,34586188.41319255,,-22676022.69106886,0.25
G04,2025-07-06 02:15:00,23342053.519324034,6037011.478532651,-10252300.240291886,0.25
G05,2025-07-06 02:15:00,32176752.199816495,-1305303.4530369302,-19642896.23662898,0.2544444444444444
G06,2025-07-06 02:15:00,32831106.715103313,-23005880.59626365,-20283556.90944857,0.2544444444444444
G07,2025-07-06 02:15:00,35504911.019451745,-6200206.231684398,-23207810.5249011,0.25
G08,2025-07-06 02:15:00,35172731.85586432,2121116.4814752564,-23577772.237812847,0.25
G09,2025-07-06 02:15:00,38752749.46307189,11584512.438883564,-28229226.816754594,0.25
G10,2025-07-06 02:15:00,47241253.75705072,-14684604.019902557,-42318207.794069536,0.25
